"sk_legislatura","version","date_from","date_to","idDeputado","idLegislaturaFinal","idLegislaturaInicial","dt_inicio","anoEleicao","dt_fim","dt_inicio_real"
314,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","495",7,6,,,,
315,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","492",7,6,,,,
316,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","373",7,4,,,,
317,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","546",7,7,,,,
318,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","534",7,7,,,,
319,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","512",7,6,,,,
320,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","391",7,4,,,,
321,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","548",7,7,,,,
322,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","230",7,2,,,,
323,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","558",7,7,,,,
324,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","388",7,4,,,,
